tag	cell	rep	env	status	seconds
bgs	V2_c1	10	10	OK	16
bgs	V2_c1	10	2	OK	15
bgs	V2_c1	10	3	OK	16
bgs	V2_c1	10	4	OK	16
bgs	V2_c1	10	5	OK	15
bgs	V2_c1	10	6	OK	16
bgs	V2_c1	10	7	OK	16
bgs	V2_c1	10	8	OK	16
bgs	V2_c1	10	9	OK	16
bgs	V2_c1	1	1	ALREADY_DONE	0
bgs	V2_c1	1	10	OK	16
bgs	V2_c1	1	2	OK	17
bgs	V2_c1	1	3	OK	17
bgs	V2_c1	1	4	OK	16
bgs	V2_c1	1	5	OK	17
bgs	V2_c1	1	6	OK	16
bgs	V2_c1	1	7	OK	15
bgs	V2_c1	1	8	OK	16
bgs	V2_c1	1	9	OK	16
bgs	V2_c1	2	1	OK	15
bgs	V2_c1	2	10	OK	15
bgs	V2_c1	2	2	OK	15
bgs	V2_c1	2	3	OK	15
bgs	V2_c1	2	4	OK	15
bgs	V2_c1	2	5	OK	15
bgs	V2_c1	2	6	OK	15
bgs	V2_c1	2	7	OK	15
bgs	V2_c1	2	8	OK	15
bgs	V2_c1	2	9	OK	15
bgs	V2_c1	3	1	OK	16
bgs	V2_c1	3	10	OK	16
bgs	V2_c1	3	2	OK	16
bgs	V2_c1	3	3	OK	16
bgs	V2_c1	3	4	OK	16
bgs	V2_c1	3	5	OK	16
bgs	V2_c1	3	6	OK	16
bgs	V2_c1	3	7	OK	17
bgs	V2_c1	3	8	OK	16
bgs	V2_c1	3	9	OK	16
bgs	V2_c1	4	1	OK	15
bgs	V2_c1	4	10	OK	15
bgs	V2_c1	4	2	OK	15
bgs	V2_c1	4	3	OK	14
bgs	V2_c1	4	4	OK	14
bgs	V2_c1	4	5	OK	15
bgs	V2_c1	4	6	OK	14
bgs	V2_c1	4	7	OK	15
bgs	V2_c1	4	8	OK	15
bgs	V2_c1	4	9	OK	14
bgs	V2_c1	5	1	OK	16
bgs	V2_c1	5	10	OK	16
bgs	V2_c1	5	2	OK	16
bgs	V2_c1	5	3	OK	15
bgs	V2_c1	5	4	OK	16
bgs	V2_c1	5	5	OK	16
bgs	V2_c1	5	6	OK	16
bgs	V2_c1	5	7	OK	15
bgs	V2_c1	5	8	OK	16
bgs	V2_c1	5	9	OK	16
bgs	V2_c1	6	1	OK	17
bgs	V2_c1	6	10	OK	16
bgs	V2_c1	6	2	OK	16
bgs	V2_c1	6	3	OK	16
bgs	V2_c1	6	4	OK	16
bgs	V2_c1	6	5	OK	16
bgs	V2_c1	6	6	OK	16
bgs	V2_c1	6	7	OK	16
bgs	V2_c1	6	8	OK	16
bgs	V2_c1	6	9	OK	16
bgs	V2_c1	7	1	OK	14
bgs	V2_c1	7	10	OK	14
bgs	V2_c1	7	2	OK	14
bgs	V2_c1	7	3	OK	15
bgs	V2_c1	7	4	OK	14
bgs	V2_c1	7	5	OK	14
bgs	V2_c1	7	6	OK	14
bgs	V2_c1	7	7	OK	14
bgs	V2_c1	7	8	OK	14
bgs	V2_c1	7	9	OK	14
bgs	V2_c1	8	1	OK	16
bgs	V2_c1	8	10	OK	16
bgs	V2_c1	8	2	OK	16
bgs	V2_c1	8	3	OK	16
bgs	V2_c1	8	4	OK	16
bgs	V2_c1	8	5	OK	16
bgs	V2_c1	8	6	OK	16
bgs	V2_c1	8	7	OK	16
bgs	V2_c1	8	8	OK	16
bgs	V2_c1	8	9	OK	16
bgs	V2_c1	9	1	OK	16
bgs	V2_c1	9	10	OK	16
bgs	V2_c1	9	2	OK	17
bgs	V2_c1	9	3	OK	16
bgs	V2_c1	9	4	OK	16
bgs	V2_c1	9	5	OK	16
bgs	V2_c1	9	6	OK	16
bgs	V2_c1	9	7	OK	15
bgs	V2_c1	9	8	OK	16
bgs	V2_c1	9	9	OK	16
